N°,Nombre,Imagen,Tipo,Fuerza,Coste de oro,Raza,Frecuencia,Edición,Habilidad,Código,Arte,Texto épico
10,Ser Abominable,https://static.wikia.nocookie.net/myl-tcg/images/8/81/Ser_Abominable.png/revision/latest?cb=20201002040849&path-prefix=es,Aliado,X,4,Sin Raza,Real,El Reto,Una vez por turno puedes copiar la fuerza y habilidades de un aliado en el juego.,11 - 126 / Primera Edición,Cristian Aguirre,Los guerreros huyen al sentir su presencia. El cruel genio es tan alto como el cielo y aterrador como el infierno.
11,Búfalo Blanco,https://static.wikia.nocookie.net/myl-tcg/images/4/4c/B%C3%BAfalo_Blanco.png/revision/latest?cb=20201002051315&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Cortesano,El Reto,Todos tus aliados ganan + 1 a la fuerza hasta el final del turno.,12 - 126 / Primera Edición,Cristian Aguirre,"Los Chamanes vieron la profecía. Por el bien de la tribu, el albo emisario del mundo superior debe ser protegido."
12,Tesoro del Rey,https://static.wikia.nocookie.net/myl-tcg/images/b/b6/Tesoro_del_Rey.png/revision/latest?cb=20201002054636&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,13 - 126 / Primera Edición,David Bueno,Recaudadas a fuego y espada. Las riquezas de un reino están teñidas por la sangre de los vencidos.
13,Trauko,https://static.wikia.nocookie.net/myl-tcg/images/6/61/Trauko.png/revision/latest?cb=20201002140246&path-prefix=es,Aliado,2,1,Sin Raza,Real,El Reto,Gana +1 a la fuerza por cada Trauko aliado en juego.,14 - 126 / Primera Edición,Mauricio Herrera,"Desprecia a los hombres, pero profesa un apasionado amor por las mujeres jóvenes."
14,Seth,https://static.wikia.nocookie.net/myl-tcg/images/8/8e/Seth.png/revision/latest?cb=20201002185452&path-prefix=es,Talismán,Sin Fuerza,1,Sin Raza,Vasallo,El Reto,Mira la mano de tu oponente.,15 - 126 / Primera Edición,Cristian Aguirre,"Efímera serpiente del alba, jamás podrá evitar el tránsito del carruaje solar."
15,Ogro,https://static.wikia.nocookie.net/myl-tcg/images/a/ab/Ogro.png/revision/latest?cb=20201003045728&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,16 - 126 / Primera Edición,Mauricio Herrera,Torpe guerrero cuya maldad y voracidad se esconden tras oscuras nubes.
16,Vampiro,https://static.wikia.nocookie.net/myl-tcg/images/d/dc/Vampiro.png/revision/latest?cb=20201003230202&path-prefix=es,Aliado,X,3,Sin Raza,Cortesano,El Reto,Bota X cartas de tu castillo (máximo 5) y gana un punto de fuerza por cada carta botada permanentemente.,17 - 126 / Primera Edición,Mauricio Herrera,Inmortal amo de la noche y la seducción. La palidez de la Luna se refleja en su condenada alma.
17,Demonio,https://static.wikia.nocookie.net/myl-tcg/images/e/e0/ElReto-018.jpg/revision/latest?cb=20221115175837&path-prefix=es,Aliado,6,X,Sin Raza,Real,El Reto,"Para ponerla en juego, debes botar 4 cartas de tu castillo.",18 - 126 / Primera Edición,Mauricio Herrera,Vástago de las tinieblas. Inevitable presencia que nace con el tiempo y muere con el universo.
18,Centauro,https://static.wikia.nocookie.net/myl-tcg/images/f/f4/Centauro.png/revision/latest?cb=20201004182744&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,19 - 126 / Primera Edición,Mauricio Herrera,Encarnación de la ira. Los bosques y praderas se estremecen al ritmo de su galope.
19,Gnomos Burlones,https://static.wikia.nocookie.net/myl-tcg/images/b/be/Gnomos_Burlones.png/revision/latest?cb=20201004221055&path-prefix=es,Aliado,2,X,Sin Raza,Cortesano,El Reto,Destruye una carta de aliado en juego.,20 - 126 / Primera Edición,Mauricio Herrera,La irreverencia y el descaro se mezclan con la audacia. Las leyes están hechas para ser desobedecidas.
20,Fruto Sagrado,https://static.wikia.nocookie.net/myl-tcg/images/9/9a/Fruto_Sagrado.png/revision/latest?cb=20201006162953&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,21 - 126 / Primera Edición,Waldo Retamales,"Algunos signos divinos están esparcidos entre los hombres, como huellas de un camino que puede salvar o matar."
21,Oráculo de Delfos,https://static.wikia.nocookie.net/myl-tcg/images/4/40/ElReto-022.jpg/revision/latest?cb=20221115080448&path-prefix=es,Talismán,Sin Fuerza,0,Sin Raza,Real,El Reto,Al entrar en juego agrega 5 cartas de oro.,22 - 126 / Primera Edición,Waldo Retamales,"En el centro del mundo, la voz de los dioses se deja escuchar a través de los sensibles labios de una pitonisa."
22,Escudo Real,https://static.wikia.nocookie.net/myl-tcg/images/c/cd/Escudo_Real.png/revision/latest?cb=20201007010232&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,23 - 126 / Primera Edición,Waldo Retamales,Ni la flecha certera ni la ira de la espada podrán alcanzar el corazón del guerrero.
23,Ek Chuah,https://static.wikia.nocookie.net/myl-tcg/images/3/30/Ek_Chuah.png/revision/latest?cb=20201007025237&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,"Cuando ataca, también deben hacerlo todos los aliados habilitados para atacar.",24 - 126 / Primera Edición,Waldo Retamales,El poderoso Capitán Negro vigila y defiende las intrincadas rutas comerciales del Imperio Maya.
24,Prometeo,https://static.wikia.nocookie.net/myl-tcg/images/1/16/Prometeo.jpg/revision/latest?cb=20200614054304&path-prefix=es,Aliado,1,2,Sin Raza,Vasallo,El Reto,Sin Habilidad,25 - 126 / Primera Edición,Cristian Aguirre,"Para darle vida e inteligencia a un hombre de barro, roba el fuego eterno, provocando la ira de los dioses."
25,Talos,https://static.wikia.nocookie.net/myl-tcg/images/6/6b/Talos.jpg/revision/latest?cb=20200731235927&path-prefix=es,Aliado,2,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,26 - 126 / Primera Edición,Cristian Aguirre,"Odio, fuego y metal son únicos en los dominios de Hefestos. El infortunio se extiende siguiendo la ruta de sus huellas."
26,Mara,https://static.wikia.nocookie.net/myl-tcg/images/7/7d/Mara.jpg/revision/latest?cb=20221117113616&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,"Si es destruido, devuélvelo a tu mano.",27 - 126 / Primera Edición,Waldo Retamales,"Montando un elefante, capitanea las huestes demoníacas que intentan detener a las almas que buscan la luz."
27,Caleuche,https://static.wikia.nocookie.net/myl-tcg/images/9/9b/Caleuche.jpg/revision/latest?cb=20221115080743&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Cortesano,El Reto,Las cartas del oponente no pueden bloquear en este turno.,28 - 126 / Primera Edición,Cristian Aguirre,Las oscuras aguas chilotas reflejan la fantasmal luz del navío del infortunio.
28,Tagaro y Suque,https://static.wikia.nocookie.net/myl-tcg/images/7/7a/Tagaro_y_Suque.png/revision/latest?cb=20201008033758&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,29 - 126 / Primera Edición,Cristian Aguirre,"El bien y el mal se hacen gigantes y esperan el ineludible combate final. Frente a frente, sólo el más fuerte se eternizará."
29,Los Titanes,https://static.wikia.nocookie.net/myl-tcg/images/6/61/Titanes.jpg/revision/latest?cb=20200608065352&path-prefix=es,Aliado,5,8,Sin Raza,Vasallo,El Reto,Sin Habilidad,30 - 126 / Primera Edición,Cristián Aguirre,Seis colosos le declaran la guerra al cielo. Los dioses están preparados para responder a la descomunal embestida.
30,Hutzilopochtli,https://static.wikia.nocookie.net/myl-tcg/images/5/5e/Hutzilopochtli.jpg/revision/latest?cb=20221115080946&path-prefix=es,Talismán,Sin Fuerza,1,Sin Raza,Cortesano,El Reto,Un aliado gana + 3 a la fuerza hasta el final del turno.,31 - 126 / Primera Edición,Cristian Aguirre,Sangre y muerte son la única forma de apaciguar al dios del sol y el fuego.
31,Gárgola,https://static.wikia.nocookie.net/myl-tcg/images/b/be/Gargola.jpg/revision/latest?cb=20201008050554&path-prefix=es,Aliado,1,2,Sin Raza,Vasallo,El Reto,Sin Habilidad,32 - 126 / Primera Edición,Mauricio Herrera,Paciente centinela de castillos de piedra. Lo inerte se vuelve furiosa energía ante la presencia del intruso.
32,Joyas de la Corona,https://static.wikia.nocookie.net/myl-tcg/images/2/2e/Joyascorona.jpg/revision/latest?cb=20201008051018&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,33 - 126 / Primera Edición,Waldo Retamales,Los distintos matices de los ojos del corazón de la tierra adornan los símbolos de un poder secular.
33,Unicornio,https://static.wikia.nocookie.net/myl-tcg/images/6/69/Unicornio.jpg/revision/latest?cb=20201008052203&path-prefix=es,Aliado,1,1,Sin Raza,Cortesano,El Reto,Al sacrificarlo genera un oro en el turno.,34 - 126 / Primera Edición,Cristian Aguirre,La soberbia palidez de la Luna se refleja en un corcel de belleza y poder milenarios.
34,Pájaro de Trueno,https://static.wikia.nocookie.net/myl-tcg/images/d/d0/P%C3%A1jaro_de_trueno.jpg/revision/latest?cb=20201008052603&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,Sin Habilidad,35 - 126 / Primera Edición,Cristian Aguirre,Su sombra protege a las tribus de Norteamérica. Gigante alado que busca a la serpiente maligna Michipeshu.
35,Perseo,https://static.wikia.nocookie.net/myl-tcg/images/5/52/Perseo.jpg/revision/latest?cb=20201008055023&path-prefix=es,Aliado,2,4,Sin Raza,Cortesano,El Reto,"Si Perseo está en juego, Medusas y Sirenas de tu oponente, pierden sus habilidades.",36 - 126 / Primera Edición,Mauricio Herrera,"Luchar contra monstruos, derrotar a enormes ejércitos o cortar la cabeza de Medusa. El valiente corazón de un héroe no conoce fronteras."
36,Sirenas,https://static.wikia.nocookie.net/myl-tcg/images/8/80/Sirenas.jpg/revision/latest?cb=20201008064018&path-prefix=es,Aliado,1,3,Sin Raza,Cortesano,El Reto,"Bota dos cartas de tu castillo, y una carta de tu oponente no puede atacar o bloquear en este turno.",37 - 126 / Primera Edición,Cristian Aguirre,Sus cantos embrujan los mares. Dulces ninfas que invitan a navegar por el encantador rastro de la perdición.
37,Sátiro,https://static.wikia.nocookie.net/myl-tcg/images/6/62/Satiro.jpg/revision/latest?cb=20200818060455&path-prefix=es,Aliado,1,2,Sin Raza,Vasallo,El Reto,Sin Habilidad,38 - 126 / Primera Edición,Cristian Aguirre,Selvas y montañas cobijan sus excesos. Perverso amante de la música y las mujeres.
38,Final del Arcoíris,https://static.wikia.nocookie.net/myl-tcg/images/1/18/Final_del_arcoiris.jpg/revision/latest?cb=20201008064511&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,39 - 126 / Primera Edición,Waldo Retamales,"Esquivo refugio de secretos, tesoros y colores. Su búsqueda puede llevar al camino de la locura."
39,Hefesto,https://static.wikia.nocookie.net/myl-tcg/images/9/97/Hefesto.jpg/revision/latest?cb=20200622042739&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Cortesano,El Reto,Un aliado en batalla gana + 1 de fuerza permanentemente.,40 - 126 / Primera Edición,Waldo Retamales,Las hirvientes venas de la Tierra son sometidas en la fragua del poderoso herrero.
40,Sko'yo,https://static.wikia.nocookie.net/myl-tcg/images/1/15/Sko%27yo.jpg/revision/latest?cb=20201008064713&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,41 - 126 / Primera Edición,Cristian Aguirre,Gigante caníbal que selló su fatal destino al raptar a la esposa del guerrero Kasewats.
41,Lothar,https://static.wikia.nocookie.net/myl-tcg/images/8/83/Lothar.jpg/revision/latest?cb=20201008065308&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Cortesano,El Reto,Las cartas de aliados destruidos en este turno vuelven al juego (a la línea de defensa).,42 - 126 / Primera Edición,David Bueno,Guardián de los místicos portales que conducen a infernales e innombrables parajes.
42,Atlas,https://static.wikia.nocookie.net/myl-tcg/images/3/32/Atlas.jpg/revision/latest?cb=20200610211543&path-prefix=es,Aliado,2,2,Sin Raza,Vasallo,El Reto,Atlas sólo puede bloquear; para destruirlo es necesario doblar su fuerza.,43 - 126 / Primera Edición,Waldo Retamales,"Por enfrentarlo, Zeus lo condena a soportar el peso del universo sobre sus hombros."
43,Khnum,https://static.wikia.nocookie.net/myl-tcg/images/e/e7/Khnum.jpg/revision/latest?cb=20201008065810&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,44 - 126 / Primera Edición,Cristian Aguirre,El destino de los egipcios flota en las aguas del Nilo. El bondadoso alfarero modifica su curso.
44,Armadura Dorada,https://static.wikia.nocookie.net/myl-tcg/images/6/6e/Armadura_dorada.jpg/revision/latest?cb=20201008070055&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,45 - 126 / Primera Edición,David Bueno,Áurea protección forjada por manos divinas en los albores del tiempo.
45,Cancerbero,https://static.wikia.nocookie.net/myl-tcg/images/d/d7/Cancerbero.jpg/revision/latest?cb=20221117121024&path-prefix=es,Talismán,Sin Fuerza,1,Sin Raza,Cortesano,El Reto,Destruye un aliado en el juego y puedes buscar 2 cartas de oro en tu castillo.,46 - 126 / Primera Edición,Waldo Retamales,Con sus ojos llenos de fuego y maldad vigila con furia las puertas del infierno.
46,Thor,https://static.wikia.nocookie.net/myl-tcg/images/2/23/Thor.jpg/revision/latest?cb=20201008071133&path-prefix=es,Aliado,8,8,Sin Raza,Vasallo,El Reto,Sin Habilidad,47 - 126 / Primera Edición,Mauricio Herrera,Cabellos rojos como la sangre derramada por los enemigos. Ojos azules como el cielo que les arrebata a los gigantes de la escarcha.
47,Manuk,https://static.wikia.nocookie.net/myl-tcg/images/3/36/Manuk.jpg/revision/latest?cb=20201008071600&path-prefix=es,Aliado,4,2,Sin Raza,Vasallo,El Reto,Cada turno pierde un punto de fuerza.,48 - 126 / Primera Edición,Cristian Aguirre,El amor es su único guía. No descansará hasta rescatar a su adorada Ceyla.
48,Kornos,https://static.wikia.nocookie.net/myl-tcg/images/d/d5/Kornos.jpg/revision/latest?cb=20201008071948&path-prefix=es,Aliado,1,3,Sin Raza,Cortesano,El Reto,Sólo puede ser bloqueada por caballeros.,49 - 126 / Primera Edición,Cristian Aguirre,"Las montañas son el mejor escondite para la bestial criatura, último vestigio de una raza casi extinta."
49,Rosa de los Vientos,https://static.wikia.nocookie.net/myl-tcg/images/5/5d/Rosa_de_los_vientos.jpg/revision/latest?cb=20201008072246&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,50 - 126 / Primera Edición,Waldo Retamales,"El horizonte estalla en todas las direcciones, pero, al igual que un tornado, no olvida su centro."
50,Sisiutil,https://static.wikia.nocookie.net/myl-tcg/images/8/87/Sisiutil.jpg/revision/latest?cb=20201008072749&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,51 - 126 / Primera Edición,Cristian Aguirre,Gloriosos guerreros intentan destruirla y arrancarle la piel. Fuente de inmortalidad y poder infinito.
51,Hombre de Piedra,https://static.wikia.nocookie.net/myl-tcg/images/a/ab/Hombre_de_piedra.jpg/revision/latest?cb=20201008073203&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,52 - 126 / Primera Edición,Cristian Aguirre,"Los chamanes revelaron el secreto. Las mujeres ""enfermas de Luna"" pueden llevarlo a la muerte, pero su espíritu vivirá."
52,Baal,https://static.wikia.nocookie.net/myl-tcg/images/4/4e/Baal.jpg/revision/latest?cb=20201008073442&path-prefix=es,Talismán,Sin Fuerza,1,Sin Raza,Vasallo,El Reto,Baal te permite robar una nueva carta.,53 - 126 / Primera Edición,Cristian Aguirre,Las tormentas viven en sus manos. Es la personificación de las fuerzas de la naturaleza.
53,Bunyip,https://static.wikia.nocookie.net/myl-tcg/images/4/4f/RTO-054.jpg/revision/latest?cb=20200524210539&path-prefix=es,Aliado,4,4,Sin Raza,Cortesano,El Reto,Cuando entra en juego destruye uno de tus aliados.,54 - 126 / Primera Edición,Waldo Retamales,Desde los abismos oceánicos emerge un oscuro e insaciable devorador de carne humana.
54,Dragón Medieval,https://static.wikia.nocookie.net/myl-tcg/images/6/66/Dragon_Medieval.jpg/revision/latest?cb=20201008073954&path-prefix=es,Aliado,6,8,Sin Raza,Real,El Reto,Este dragón no puede ser bloqueado.,55 - 126 / Primera Edición,Waldo Retamales,Fabuloso soberano del aire y del fuego. Su gigantesca sombra vaga sobre las tierras condenadas al sufrimiento.
55,Gilgamesh,https://static.wikia.nocookie.net/myl-tcg/images/1/1e/Gilgamesh.jpg/revision/latest?cb=20201008074348&path-prefix=es,Aliado,2,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,56 - 126 / Primera Edición,Waldo Retamales,"Su audacia y gallardía molestan y seducen a los dioses, quienes no pueden detenerlo ni con la espada ni con besos."
56,Gigante Andino,https://static.wikia.nocookie.net/myl-tcg/images/4/4d/Gigante_andino.jpg/revision/latest?cb=20201008074927&path-prefix=es,Aliado,3,4,Sin Raza,Vasallo,El Reto,Sin Habilidad,57 - 126 / Primera Edición,Mauricio Herrera,"Insaciables gigantes asolan las tierras del Perú, atemorizando a los lugareños y agotando sus recursos naturales."
57,Ninfas,https://static.wikia.nocookie.net/myl-tcg/images/4/46/Ninfas.jpg/revision/latest?cb=20201008075250&path-prefix=es,Aliado,1,1,Sin Raza,Cortesano,El Reto,"Al jugarla, puedes buscar otra carta de Ninfa en tu castillo y ponerla en tu mano.",58 - 126 / Primera Edición,Waldo Retamales,"Mujeres fecundas y graciosas, de las aguas, los bosques y los campos son diosas."
58,Ave Fénix,https://static.wikia.nocookie.net/myl-tcg/images/4/43/Ave_F%C3%A9nix.jpg/revision/latest?cb=20200621043637&path-prefix=es,Aliado,2,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,59 - 126 / Primera Edición,Waldo Retamales,"La muerte no lo alcanza. Al exponerse a los rayos del sol, renace de sus cenizas."
59,Cáliz Sagrado,https://static.wikia.nocookie.net/myl-tcg/images/8/82/Caliz_sagrado.jpg/revision/latest?cb=20201008075840&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,60 - 126 / Primera Edición,David Bueno,"Copa de la eternidad, codiciado grial que vierte sobre el mundo la sangre divina."
60,Oannes,https://static.wikia.nocookie.net/myl-tcg/images/8/8d/Oannes_%28Reto%29.jpg/revision/latest?cb=20201008080243&path-prefix=es,Aliado,1,4,Sin Raza,Vasallo,El Reto,Al jugarlo puedes robar una carta.,61 - 126 / Primera Edición,Mauricio Herrera,Surge de las profundidades marinas para dirigir las conciencias de los seres humanos.
61,Tentenvilu-Coicoivilu,https://static.wikia.nocookie.net/myl-tcg/images/6/62/Tentenvilu-Coicoivilu.jpg/revision/latest?cb=20201008080629&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,Sin Habilidad,62 - 126 / Primera Edición,Waldo Retamales,La eterna lucha entre el bien y el mal se traslada a los mares y tierras del sur de Chile.
62,Amazonas,https://static.wikia.nocookie.net/myl-tcg/images/a/ac/Amazonas.png/revision/latest?cb=20200629031537&path-prefix=es,Aliado,2,2,Sin Raza,Real,El Reto,"Si hay cartas de Amazonas en juego su valor se reduce a ""0"".",63 - 126 / Primera Edición,Cristian Aguirre,"La furia de Ares desciende del Olimpo y se concentra en sus hijas, indómitas guerreras que no reconocen al hombre y su ley."
63,Hadas,https://static.wikia.nocookie.net/myl-tcg/images/8/88/Hadas.jpg/revision/latest?cb=20201008081021&path-prefix=es,Aliado,1,2,Sin Raza,Vasallo,El Reto,Sin Habilidad,64 - 126 / Primera Edición,Vásquez-Herrera,Sus ropajes son tan delicados como sus alas. Su mágica belleza es tan irresistible como su destino.
64,Cíclope,https://static.wikia.nocookie.net/myl-tcg/images/2/25/065.jpg/revision/latest?cb=20221204121929&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Cortesano,El Reto,Bota al azar dos cartas de la mano de tu oponente.,65 - 126 / Primera Edición,Waldo Retamales,"Acercarse a grutas y cavernas puede resultar mortal. Su maldad, al igual que su mirada, se concentra en los humanos."
65,Monedas de Oro,https://static.wikia.nocookie.net/myl-tcg/images/4/4a/RTO-066.jpg/revision/latest?cb=20200601115132&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,66 - 126 / Primera Edición,Waldo Retamales,El hombre extrae el áureo espíritu de la Tierra y lo transforma en preciados instrumentos de riqueza y poder.
66,Anubis,https://static.wikia.nocookie.net/myl-tcg/images/5/5a/Anubis_%28Reto%29.jpg/revision/latest?cb=20221115180440&path-prefix=es,Aliado,0,2,Sin Raza,Vasallo,El Reto,Destruye a Anubis y regresa una carta de tu cementerio a la línea de defensa.,67 - 126 / Primera Edición,Cristian Aguirre,Los caminos de la muerte no tienen secretos para Anubis. Protector de las almas que esperan el juicio final.
67,Hombre Lobo,https://static.wikia.nocookie.net/myl-tcg/images/1/16/Hombre_lobo.jpg/revision/latest?cb=20201008082224&path-prefix=es,Aliado,1,2,Sin Raza,Vasallo,El Reto,Sin Habilidad,68 - 126 / Primera Edición,Mauricio Herrera,Atormentado humano condenado por los dioses a contemplar la luna llena con ojos de lobo.
68,Fenrir,https://static.wikia.nocookie.net/myl-tcg/images/7/78/Fenrir.jpg/revision/latest?cb=20201008082910&path-prefix=es,Aliado,4,2,Sin Raza,Cortesano,El Reto,Si ataca debe ser acompañado por dos aliados.,69 - 126 / Primera Edición,Waldo Retamales,Sus fauces son capaces de devorar el sol y sumir a los hombres en el frió y la oscuridad total.
69,Kali,https://static.wikia.nocookie.net/myl-tcg/images/f/f6/Kali.jpg/revision/latest?cb=20201008083503&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,70 - 126 / Primera Edición,Cristian Aguirre,El bien y el mal conviven en su furia. Sus ansias de destrucción no distinguen a culpables de inocentes.
70,Marduk,https://static.wikia.nocookie.net/myl-tcg/images/4/4b/Marduk.jpg/revision/latest?cb=20201008083920&path-prefix=es,Aliado,3,4,Sin Raza,Cortesano,El Reto,"Si hay algún dragón en juego, gana +3 a la fuerza.",71 - 126 / Primera Edición,Waldo Retamales,Los dioses pueden estar tranquilos. Marduk los guiará en la lucha contra los engendros del caos.
71,Lilith,https://static.wikia.nocookie.net/myl-tcg/images/3/31/Lilith.jpg/revision/latest?cb=20201008084339&path-prefix=es,Aliado,2,4,Sin Raza,Vasallo,El Reto,Sin Habilidad,72 - 126 / Primera Edición,Waldo Retamales,"Seductora mujer vampiro, criatura infernal, amante de las nocturnas oscuridades."
72,Diamante Turquesa,https://static.wikia.nocookie.net/myl-tcg/images/c/c7/Diamante_turquesa.jpg/revision/latest?cb=20201008084926&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,73 - 126 / Primera Edición,Waldo Retamales,En su interior se refleja el alma indómita de los mares del tiempo.
73,Viracocha,https://static.wikia.nocookie.net/myl-tcg/images/c/c5/Viracocha.jpg/revision/latest?cb=20221117112547&path-prefix=es,Talismán,Sin Fuerza,1,Sin Raza,Cortesano,El Reto,"Al jugarla, una carta oponente no puede atacar o bloquear.",74 - 126 / Primera Edición,Cristian Aguirre,"El universo se mueve al ritmo de su respiración, su eterna mirada se refleja en toda la creación."
74,Osiris,https://static.wikia.nocookie.net/myl-tcg/images/1/17/Osiris.jpg/revision/latest?cb=20201008085907&path-prefix=es,Aliado,3,5,Sin Raza,Vasallo,El Reto,Sin Habilidad,75 - 126 / Primera Edición,Waldo Retamales,Defensor del orden y la civilización. Su muerte y resurrección lo convierten en el dios salvador.
